iter	MultiClass
0	1.081501645
1	1.065579062
2	1.051513462
3	1.039570511
4	1.026609137
5	1.016091646
6	1.004147631
7	0.9926992597
8	0.9840124191
9	0.9746650959
10	0.9665876694
11	0.9599115647
12	0.9527252588
13	0.9451296952
14	0.9386085683
15	0.932590995
16	0.9273644407
17	0.9211860687
18	0.9150957903
19	0.9102755966220	0.9053564879
21	0.9003141198
22	0.8954887618223	0.8902899271224	0.8859632632525	0.8826622252626	0.8795595472227	0.8762027282828	0.8730636372229	0.8701852113330	0.866817873331	0.8581382617332	0.85543859013333	0.85841491534	0.8473972712
35	0.8447591044
36	0.841212612
37	37	0.8451450338	38	0.8426653839	39	0.8407878540	0.830884703
41	0.8292296594
42	0.8275330241
43	0.824769601
44	0.8230274036
45	0.8207533777
46	0.8173735836
47	0.47	0.82299648	48	0.8196346449	4949	0.81860250	50	0.8151633851	51	0.8129540352	0.8051237432
53	0.8030086989
54	0.8009902409
55	0.7991625049
56	0.7966573242
57	0.7951821615
58	0.7927794538
59	0.7903989737
60	0.7884249
61	0.7870243393
62	0.7852670173
63	0.7834197748
64	0.7818976148
65	0.7806856776
66	0.7793328239
67	0.7768007881
68	0.7751781208
69	0.7737881374
70	0.7718400463
71	0.7703232849
72	0.7685997306
73	0.7672354821
74	0.7661180299
75	0.7643707353
76	0.7633181932
77	0.7620998947
78	0.7605688354
79	0.7589255913
80	0.7579850917
81	0.7571134519
82	0.7555692329
83	0.7540311104
84	0.7529173694
85	0.7516805008
86	0.7502469472
87	0.749751023
88	0.7485030414
89	0.7471378441
90	0.7456621965
91	0.7444626084
92	0.74252826
93	0.7415932306
94	0.7400592979
95	0.7390376447
96	0.7378463078
97	0.7367434164
98	0.7351143227
99	0.7337227783
100	0.7328496468
101	0.7310530327
102	0.7304496964
103	0.7293453135
104	0.7280256016
105	0.7265904493
106	0.7261895201
107	0.7251379717
108	0.7242296001
109	0.7231533545
110	0.7217575353
111	0.7203873229
112	0.7190986571
113	0.7181386432
114	0.7173746776
115	0.7160885033
116	0.7153523574
117	0.713525276
118	0.7127707301
119	0.7112549028
120	0.7102347151
121	0.7091756588
122	0.7077535866
123	0.7068852817
124	0.7057336579
125	0.7047795925
126	0.7039581361
127	0.7031197338
128	0.7019509295
129	0.7013267854
130	0.6996522551
131	0.6985341361
132	0.6974978419
133	0.696048414
134	0.6939155807
135	0.6926887825
136	0.6918997824
137	0.6905985733
138	0.6894055703
139	0.6884586347
140	0.6872669214
141	0.6866443478
142	0.6856438623
143	0.6840745359
144	0.6830490568
145	0.6820907458
146	0.6806320982
147	0.6798732562
148	0.6786134593
149	0.677746752
150	0.6763845508
151	0.6756692159
152	0.6746937766
153	0.673607375
154	0.6722024323
155	0.6709247952
156	0.669592917
157	0.6682692384
158	0.666707518
159	0.6657530118
160	0.6651016765
161	0.6640922383
162	0.6631000087
163	0.6625667603
164	0.6612844954
165	0.6598664538
166	0.6590697093
167	0.6583215332
168	0.6568363887
169	0.6557660304
170	0.6544480095
171	0.6536128997
172	0.6529618954
173	0.6516463043
174	0.6503259419
175	0.6493773516
176	0.6477521629
177	0.6467096693
178	0.6453636833
179	0.6440777464
180	0.642932725
181	0.6422784535
182	0.6407534253
183	0.639632231
184	0.6388333982
185	0.6380615586
186	0.6367890425
187	0.6357439524
188	0.6346241207
189	0.6334872686
190	0.6319095829
191	0.6308262465
192	0.6295041057
193	0.6288457048
194	0.6280452952
195	0.627497202
196	0.6268331839
197	0.6257371491
198	0.6245216763
199	0.6236982504
2927
